integrand,action
\int_{0}^{1}2*x+\sqrt[3]{x}dx,1
\int_{0}^{1}16*\sqrt[3]{x}dx,1
\int_{0}^{1}10*xdx,1
\int_{0}^{1}10*\sqrt{x}dx,1
\int_{0}^{1}x-\sin{x}dx,1
\int_{0}^{1}5*\sqrt{x}dx,1
\int_{0}^{1}\frac{1}{x}+{x}^{4}dx,1
\int_{0}^{1}e^{x}-\cos{x}dx,1
\int_{0}^{1}\tan{x}+\tan{x}dx,1
\int_{0}^{1}5*\tan{x}dx,1
\int_{0}^{1}18*\sqrt{x}dx,1
\int_{0}^{1}x-{x}^{3}dx,1
\int_{0}^{1}11*{x}^{3}dx,1
\int_{0}^{1}17*\sin{x}dx,1
\int_{0}^{1}\sqrt[3]{x}+e^{x}dx,1
\int_{0}^{1}20*\tan{x}dx,1
\int_{0}^{1}{x}^{3}+\sin{x}dx,1
\int_{0}^{1}\sqrt{x}-2*xdx,1
\int_{0}^{1}x+\sqrt[3]{x}dx,1
\int_{0}^{1}19*2*xdx,1
\int_{0}^{1}\cos{x}+xdx,1
\int_{0}^{1}\frac{1}{x}+\tan{x}dx,1
\int_{0}^{1}8+\frac{1}{x}dx,1
\int_{0}^{1}7*1dx,1
\int_{0}^{1}3*\cos{x}dx,1
\int_{0}^{1}12*xdx,1
\int_{0}^{1}e^{x}+e^{x}dx,1
\int_{0}^{1}13*xdx,1
\int_{0}^{1}\frac{1}{x}-\sin{x}dx,1
\int_{0}^{1}5*\frac{1}{x}dx,1
\int_{0}^{1}4*\frac{1}{x}dx,1
\int_{0}^{1}\sin{x}+{x}^{4}dx,1
\int_{0}^{1}5*{x+1}^{2}dx,1
\int_{0}^{1}17*{x}^{3}dx,1
\int_{0}^{1}4*\sin{x}dx,1
\int_{0}^{1}11*2*xdx,1
\int_{0}^{1}8*\sqrt[3]{x}dx,1
\int_{0}^{1}\sqrt[3]{x}-e^{x}dx,1
\int_{0}^{1}8+e^{x}dx,1
\int_{0}^{1}15*\sin{x}dx,1
\int_{0}^{1}19*\sqrt{x}dx,1
\int_{0}^{1}8*{x}^{3}dx,1
\int_{0}^{1}3*{x}^{3}dx,1
\int_{0}^{1}e^{x}-\tan{x}dx,1
\int_{0}^{1}5*{x}^{4}dx,1
\int_{0}^{1}11*\sqrt{x}dx,1
\int_{0}^{1}2*1dx,1
\int_{0}^{1}2*\sqrt[3]{x}dx,1
\int_{0}^{1}\sin{x}+\cos{x}dx,1
\int_{0}^{1}4*2*xdx,1
\int_{0}^{1}20*e^{x}dx,1
\int_{0}^{1}e^{x}-\cos{x}dx,1
\int_{0}^{1}9*{x}^{4}dx,1
\int_{0}^{1}12*2*xdx,1
\int_{0}^{1}1+8dx,1
\int_{0}^{1}1+{x}^{2}dx,1
\int_{0}^{1}x-\frac{1}{x}dx,1
\int_{0}^{1}6*{x}^{4}dx,1
\int_{0}^{1}\cos{x}-{x}^{2}dx,1
\int_{0}^{1}4*{x+1}^{2}dx,1
\int_{0}^{1}e^{x}+8dx,1
\int_{0}^{1}2*8dx,1
\int_{0}^{1}\cos{x}+\sqrt{x}dx,1
\int_{0}^{1}8+{x+1}^{2}dx,1
\int_{0}^{1}\cos{x}-e^{x}dx,1
\int_{0}^{1}{x}^{4}-{x}^{2}dx,1
\int_{0}^{1}\tan{x}-{x}^{3}dx,1
\int_{0}^{1}15*8dx,1
\int_{0}^{1}\sqrt{x}+8dx,1
\int_{0}^{1}17*\tan{x}dx,1
\int_{0}^{1}8*\sqrt{x}dx,1
\int_{0}^{1}11*{x}^{2}dx,1
\int_{0}^{1}8*{x}^{4}dx,1
\int_{0}^{1}15*\frac{1}{x}dx,1
\int_{0}^{1}\tan{x}-e^{x}dx,1
\int_{0}^{1}18*\tan{x}dx,1
\int_{0}^{1}\sin{x}-\tan{x}dx,1
\int_{0}^{1}e^{x}+\sqrt{x}dx,1
\int_{0}^{1}5*{x+1}^{2}dx,1
\int_{0}^{1}{x}^{2}-{x}^{2}dx,1
\int_{0}^{1}18*{x}^{3}dx,1
\int_{0}^{1}10*{x}^{2}dx,1
\int_{0}^{1}6*\sin{x}dx,1
\int_{0}^{1}13*2*xdx,1
\int_{0}^{1}{x+1}^{2}-\sqrt{x}dx,1
\int_{0}^{1}7*{x+1}^{2}dx,1
\int_{0}^{1}15*8dx,1
\int_{0}^{1}16*{x+1}^{2}dx,1
\int_{0}^{1}10*\sin{x}dx,1
\int_{0}^{1}8+\frac{1}{x}dx,1
\int_{0}^{1}15*{x}^{4}dx,1
\int_{0}^{1}x-2*xdx,1
\int_{0}^{1}1-xdx,1
\int_{0}^{1}6*8dx,1
\int_{0}^{1}13*1dx,1
\int_{0}^{1}20*\sin{x}dx,1
\int_{0}^{1}\frac{1}{x}+\sqrt[3]{x}dx,1
\int_{0}^{1}4*\sqrt{x}dx,1
\int_{0}^{1}18*e^{x}dx,1
\int_{0}^{1}6*{x}^{3}dx,1
\int_{0}^{1}19*\frac{1}{x}dx,1
\int_{0}^{1}\sin{x}+e^{x}dx,1
\int_{0}^{1}\frac{1}{x}+{x}^{2}dx,1
\int_{0}^{1}16*\sqrt{x}dx,1
\int_{0}^{1}{x}^{3}+e^{x}dx,1
\int_{0}^{1}3*1dx,1
\int_{0}^{1}8-{x}^{3}dx,1
\int_{0}^{1}8+xdx,1
\int_{0}^{1}{x}^{3}-\tan{x}dx,1
\int_{0}^{1}17*{x+1}^{2}dx,1
\int_{0}^{1}\cos{x}+\sin{x}dx,1
\int_{0}^{1}8*\frac{1}{x}dx,1
\int_{0}^{1}4*\cos{x}dx,1
\int_{0}^{1}3*{x+1}^{2}dx,1
\int_{0}^{1}{x}^{3}-8dx,1
\int_{0}^{1}5*{x}^{4}dx,1
\int_{0}^{1}6*2*xdx,1
\int_{0}^{1}1-1dx,1
\int_{0}^{1}\sqrt[3]{x}-{x}^{4}dx,1
\int_{0}^{1}18*xdx,1
\int_{0}^{1}9*\cos{x}dx,1
\int_{0}^{1}11*{x+1}^{2}dx,1
\int_{2}^{3}\cos{x}dx,0
\int_{2}^{4}1dx,0
\int_{0}^{3}\frac{1}{{x}^{2}}dx,0
\int_{0}^{2}\sqrt[2]{x}dx,0
\int_{1}^{3}\sin{x}dx,0
\int_{2}^{3}{x}^{4}dx,0
\int_{0}^{3}\sin{x}dx,0
\int_{0}^{1}2dx,0
\int_{1}^{2}{x}^{2}dx,0
\int_{0}^{3}{x}^{3}dx,0
\int_{1}^{3}\frac{1}{{x}^{2}}dx,0
\int_{2}^{5}1dx,0
\int_{0}^{2}{x}^{5}dx,0
\int_{1}^{4}1dx,0
\int_{1}^{4}e^{x}dx,0
\int_{0}^{3}{x}^{2}dx,0
\int_{0}^{2}8dx,0
\int_{2}^{5}2dx,0
\int_{2}^{5}\sqrt[3]{x}dx,0
\int_{1}^{3}\sqrt{x}dx,0
\int_{0}^{3}\sqrt[2]{x}dx,0
\int_{0}^{1}\frac{1}{{x}^{3}}dx,0
\int_{0}^{2}\sqrt{x}dx,0
\int_{2}^{4}\frac{1}{{x}^{2}}dx,0
\int_{1}^{2}\sin{x}dx,0
\int_{2}^{3}\sin{x}dx,0
\int_{2}^{3}xdx,0
\int_{2}^{3}\sqrt{x}dx,0
\int_{0}^{3}\cos{x}dx,0
\int_{1}^{2}\sqrt[4]{x}dx,0
\int_{2}^{4}e^{x}dx,0
\int_{0}^{2}{x}^{3}dx,0
\int_{1}^{2}\sqrt[3]{x}dx,0
\int_{0}^{1}{x}^{2}dx,0
\int_{2}^{5}{x}^{5}dx,0
\int_{0}^{2}\frac{1}{{x}^{3}}dx,0
\int_{0}^{3}{x}^{3}dx,0
\int_{1}^{2}\cos{x}dx,0
\int_{1}^{2}{x}^{4}dx,0
\int_{2}^{3}\sqrt[2]{x}dx,0
\int_{2}^{3}\frac{1}{{x}^{2}}dx,0
\int_{0}^{3}1dx,0
\int_{1}^{4}\sqrt[3]{x}dx,0
\int_{2}^{4}\sin{x}dx,0
\int_{0}^{3}{x}^{3}dx,0
\int_{0}^{1}xdx,0
\int_{2}^{5}1dx,0
\int_{2}^{4}{x}^{3}dx,0
\int_{1}^{4}e^{x}dx,0
\int_{1}^{4}{x}^{4}dx,0
\int_{0}^{3}xdx,0
\int_{2}^{5}e^{x}dx,0
\int_{0}^{2}8dx,0
\int_{2}^{5}e^{x}dx,0
\int_{1}^{3}xdx,0
\int_{1}^{4}\frac{1}{{x}^{3}}dx,0
\int_{1}^{3}{x}^{5}dx,0
\int_{2}^{4}\sin{x}dx,0
\int_{0}^{3}\frac{1}{x}dx,0
\int_{0}^{1}2dx,0
\int_{2}^{3}{x}^{2}dx,0
\int_{1}^{2}\sqrt[2]{x}dx,0
\int_{1}^{3}\sqrt[3]{x}dx,0
\int_{0}^{3}\frac{1}{{x}^{3}}dx,0
\int_{1}^{4}e^{x}dx,0
\int_{2}^{3}\sqrt[2]{x}dx,0
\int_{0}^{3}{x}^{3}dx,0
\int_{2}^{5}8dx,0
\int_{0}^{2}8dx,0
\int_{2}^{5}2dx,0
\int_{2}^{5}{x}^{5}dx,0
\int_{0}^{2}\sqrt[3]{x}dx,0
\int_{2}^{3}xdx,0
\int_{2}^{4}2dx,0
\int_{0}^{3}\sqrt[4]{x}dx,0
\int_{0}^{1}8dx,0
\int_{1}^{3}\frac{1}{{x}^{3}}dx,0
\int_{1}^{3}{x}^{4}dx,0
\int_{0}^{2}{x}^{3}dx,0
\int_{2}^{4}\sqrt[3]{x}dx,0
\int_{1}^{4}\frac{1}{{x}^{3}}dx,0
\int_{1}^{4}\frac{1}{{x}^{2}}dx,0
\int_{0}^{2}\sqrt[2]{x}dx,0
\int_{2}^{5}{x}^{3}dx,0
\int_{0}^{3}2dx,0
\int_{2}^{4}8dx,0
\int_{1}^{3}{x}^{4}dx,0
\int_{1}^{3}\sqrt[3]{x}dx,0
\int_{2}^{4}\frac{1}{x}dx,0
\int_{2}^{3}\frac{1}{{x}^{2}}dx,0
\int_{2}^{3}2dx,0
\int_{2}^{3}1dx,0
\int_{2}^{3}\cos{x}dx,0
\int_{1}^{3}\sqrt[2]{x}dx,0
\int_{0}^{2}\sqrt{x}dx,0
\int_{0}^{2}\frac{1}{x}dx,0
\int_{2}^{5}1dx,0
\int_{0}^{2}\sqrt[3]{x}dx,0
\int_{2}^{4}xdx,0
\int_{0}^{1}\frac{5}{2*x+5}dx,3
\int_{0}^{1}\frac{7}{1*x+2}dx,3
\int_{0}^{1}\frac{3*x+9}{3*x+2}dx,3
\int_{0}^{1}\frac{5*x^2+6*x+1}{1*x+1}dx,3
\int_{0}^{1}\frac{2*x^2+10*x+1}{1*x+2}dx,3
\int_{0}^{1}\frac{3}{3*x+1}dx,3
\int_{0}^{1}\frac{1}{1*x+5}dx,3
\int_{0}^{1}\frac{1*x+2}{3*x+5}dx,3
\int_{0}^{1}\frac{5*x^2+8*x+1}{3*x+2}dx,3
\int_{0}^{1}\frac{5*x^2+4*x+1}{1*x+3}dx,3
\int_{0}^{1}\frac{4*x^2+6*x+1}{1*x+4}dx,3
\int_{0}^{1}\frac{4*x+5}{2*x+3}dx,3
\int_{0}^{1}\frac{2*x+5}{1*x+3}dx,3
\int_{0}^{1}\frac{3*x^2+6*x+1}{1*x+1}dx,3
\int_{0}^{1}\frac{5*x^2+8*x+1}{1*x+3}dx,3
\int_{0}^{1}\frac{7}{1*x+4}dx,3
\int_{0}^{1}\frac{5*x^2+5*x+1}{3*x+2}dx,3
\int_{0}^{1}\frac{3*x^2+3*x+1}{1*x+4}dx,3
\int_{0}^{1}\frac{5*x+6}{3*x+1}dx,3
\int_{0}^{1}\frac{2*x^2+7*x+1}{2*x+3}dx,3
\int_{0}^{1}\frac{1*x+1}{3*x+4}dx,3
\int_{0}^{1}\frac{9}{2*x+4}dx,3
\int_{0}^{1}\frac{3*x^2+9*x+1}{2*x+2}dx,3
\int_{0}^{1}\frac{3*x^2+9*x+1}{2*x+2}dx,3
\int_{0}^{1}\frac{4*x+3}{1*x+3}dx,3
\int_{0}^{1}\frac{7}{3*x+3}dx,3
\int_{0}^{1}\frac{2*x+10}{1*x+1}dx,3
\int_{0}^{1}\frac{2}{1*x+1}dx,3
\int_{0}^{1}\frac{1}{3*x+2}dx,3
\int_{0}^{1}\frac{4*x+10}{2*x+5}dx,3
\int_{0}^{1}\frac{2*x^2+10*x+1}{1*x+4}dx,3
\int_{0}^{1}\frac{4*x^2+2*x+1}{1*x+1}dx,3
\int_{0}^{1}\frac{1*x^2+2*x+1}{3*x+3}dx,3
\int_{0}^{1}\frac{6}{2*x+3}dx,3
\int_{0}^{1}\frac{5*x^2+9*x+1}{1*x+5}dx,3
\int_{0}^{1}\frac{10}{1*x+2}dx,3
\int_{0}^{1}\frac{4*x^2+3*x+1}{1*x+5}dx,3
\int_{0}^{1}\frac{1*x+3}{2*x+1}dx,3
\int_{0}^{1}\frac{5*x^2+9*x+1}{3*x+3}dx,3
\int_{0}^{1}\frac{6}{2*x+4}dx,3
\int_{0}^{1}\frac{3*x^2+4*x+1}{3*x+5}dx,3
\int_{0}^{1}\frac{3}{3*x+3}dx,3
\int_{0}^{1}\frac{5*x^2+1*x+1}{2*x+1}dx,3
\int_{0}^{1}\frac{5*x+8}{3*x+1}dx,3
\int_{0}^{1}\frac{2*x^2+4*x+1}{1*x+2}dx,3
\int_{0}^{1}\frac{2*x^2+3*x+1}{2*x+2}dx,3
\int_{0}^{1}\frac{1*x+9}{1*x+4}dx,3
\int_{0}^{1}\frac{5*x^2+8*x+1}{3*x+4}dx,3
\int_{0}^{1}\frac{5*x^2+2*x+1}{1*x+5}dx,3
\int_{0}^{1}\frac{7}{3*x+3}dx,3
\int_{0}^{1}\frac{1*x^2+5*x+1}{3*x+1}dx,3
\int_{0}^{1}\frac{5*x^2+3*x+1}{2*x+2}dx,3
\int_{0}^{1}\frac{1*x+6}{2*x+1}dx,3
\int_{0}^{1}\frac{5*x^2+6*x+1}{2*x+1}dx,3
\int_{0}^{1}\frac{4*x^2+5*x+1}{3*x+1}dx,3
\int_{0}^{1}\frac{1*x+6}{1*x+2}dx,3
\int_{0}^{1}\frac{10}{2*x+5}dx,3
\int_{0}^{1}\frac{2*x^2+7*x+1}{3*x+5}dx,3
\int_{0}^{1}\frac{5*x+7}{1*x+2}dx,3
\int_{0}^{1}\frac{4*x+9}{2*x+5}dx,3
\int_{0}^{1}\frac{3*x+1}{3*x+2}dx,3
\int_{0}^{1}\frac{3*x+7}{2*x+5}dx,3
\int_{0}^{1}\frac{2*x+1}{1*x+5}dx,3
\int_{0}^{1}\frac{4*x^2+7*x+1}{3*x+5}dx,3
\int_{0}^{1}\frac{4*x+10}{3*x+5}dx,3
\int_{0}^{1}\frac{2*x+5}{2*x+2}dx,3
\int_{0}^{1}\frac{1*x+5}{2*x+4}dx,3
\int_{0}^{1}\frac{9}{3*x+1}dx,3
\int_{0}^{1}\frac{4*x^2+1*x+1}{2*x+1}dx,3
\int_{0}^{1}\frac{1*x^2+8*x+1}{1*x+3}dx,3
\int_{0}^{1}\frac{5*x+9}{3*x+1}dx,3
\int_{0}^{1}\frac{1*x^2+1*x+1}{2*x+4}dx,3
\int_{0}^{1}\frac{5*x+6}{3*x+5}dx,3
\int_{0}^{1}\frac{3*x^2+2*x+1}{3*x+2}dx,3
\int_{0}^{1}\frac{2*x+9}{1*x+3}dx,3
\int_{0}^{1}\frac{2}{3*x+1}dx,3
\int_{0}^{1}\frac{7}{3*x+4}dx,3
\int_{0}^{1}\frac{1*x+6}{1*x+2}dx,3
\int_{0}^{1}\frac{6}{2*x+1}dx,3
\int_{0}^{1}\frac{4*x+9}{2*x+3}dx,3
\int_{0}^{1}\frac{4*x+4}{1*x+3}dx,3
\int_{0}^{1}\frac{5*x^2+7*x+1}{1*x+1}dx,3
\int_{0}^{1}\frac{3*x+10}{2*x+5}dx,3
\int_{0}^{1}\frac{3}{1*x+3}dx,3
\int_{0}^{1}\frac{4*x+3}{2*x+5}dx,3
\int_{0}^{1}\frac{9}{1*x+5}dx,3
\int_{0}^{1}\frac{1}{1*x+4}dx,3
\int_{0}^{1}\frac{3*x+3}{1*x+2}dx,3
\int_{0}^{1}\frac{1*x+9}{3*x+5}dx,3
\int_{0}^{1}\frac{5*x+1}{1*x+3}dx,3
\int_{0}^{1}\frac{2*x^2+3*x+1}{1*x+5}dx,3
\int_{0}^{1}\frac{2*x^2+3*x+1}{3*x+5}dx,3
\int_{0}^{1}\frac{6}{3*x+5}dx,3
\int_{0}^{1}\frac{8}{1*x+2}dx,3
\int_{0}^{1}\frac{2*x+5}{1*x+1}dx,3
\int_{0}^{1}\frac{4*x+5}{3*x+4}dx,3
\int_{0}^{1}\frac{8}{2*x+5}dx,3
\int_{0}^{1}\frac{2*x+2}{3*x+3}dx,3
\int_{0}^{1}\frac{7}{2*x+2}dx,3
\int_{0}^{1}\frac{2*x^2+9*x+1}{3*x+1}dx,3
\int_{0}^{1}{\sin{x}}^{2}dx,6
\int_{0}^{1}{\cos{x}}^{2}dx,6
\int_{0}^{1}{\sin{2*x}}^{2}dx,6
\int_{0}^{1}{\cos{2*x}}^{2}dx,6
\int_{0}^{1}{\sin{3*x}}^{2}dx,6
\int_{0}^{1}{\cos{3*x}}^{2}dx,6
\int_{0}^{1}{\sin{4*x}}^{2}dx,6
\int_{0}^{1}{\cos{4*x}}^{2}dx,6
\int_{0}^{1}{\sin{5*x}}^{2}dx,6
\int_{0}^{1}{\cos{5*x}}^{2}dx,6
\int_{0}^{1}\sin{2*x}*\cos{3*x}dx,6
\int_{0}^{1}\sin{3*x}*\cos{2*x}dx,6
\int_{0}^{1}\sin{4*x}*\cos{2*x}dx,6
\int_{0}^{1}\cos{5*x}*\cos{2*x}dx,6
\int_{0}^{1}\sin{2*x}*\sin{4*x}dx,6
\int_{0}^{1}\cos{3*x}*\cos{4*x}dx,6
\int_{0}^{1}\sin{5*x}*\cos{4*x}dx,6
\int_{0}^{1}\sin{2*x}*\cos{5*x}dx,6
\int_{0}^{1}\cos{6*x}*\cos{2*x}dx,6
\int_{0}^{1}\sin{3*x}*\sin{6*x}dx,6
\int_{0}^{1}{x+1}^{2}dx,6
\int_{0}^{1}{x-1}^{2}dx,6
\int_{0}^{1}{x+2}^{2}dx,6
\int_{0}^{1}{x-2}^{2}dx,6
\int_{0}^{1}{x+3}^{2}dx,6
\int_{0}^{1}{x-3}^{2}dx,6
\int_{0}^{1}{x+1}^{3}dx,6
\int_{0}^{1}{x-1}^{3}dx,6
\int_{0}^{1}{x+2}^{3}dx,6
\int_{0}^{1}{x-2}^{3}dx,6
\int_{0}^{1}{x+1}^{4}dx,6
\int_{0}^{1}{x-1}^{4}dx,6
\int_{0}^{1}{2*x}^{2}dx,6
\int_{0}^{1}{3*x}^{2}dx,6
\int_{0}^{1}{4*x}^{2}dx,6
\int_{0}^{1}{5*x}^{2}dx,6
\int_{0}^{1}{2*x}^{3}dx,6
\int_{0}^{1}{3*x}^{3}dx,6
\int_{0}^{1}{4*x}^{3}dx,6
\int_{0}^{1}{2*x}^{4}dx,6
\int_{0}^{1}e^{x}*e^{x}dx,6
\int_{0}^{1}e^{2*x}*e^{x}dx,6
\int_{0}^{1}e^{x}*e^{3*x}dx,6
\int_{0}^{1}e^{2*x}*e^{2*x}dx,6
\int_{0}^{1}e^{3*x}*e^{4*x}dx,6
\int_{0}^{1}e^{x}*e^{-x}dx,6
\int_{0}^{1}e^{2*x}*e^{3*x}dx,6
\int_{0}^{1}e^{4*x}*e^{2*x}dx,6
\int_{0}^{1}e^{5*x}*e^{x}dx,6
\int_{0}^{1}e^{3*x}*e^{3*x}dx,6
\int_{0}^{1}{\sin{6*x}}^{2}dx,6
\int_{0}^{1}{\cos{6*x}}^{2}dx,6
\int_{0}^{1}\sin{x}*\cos{x}dx,6
\int_{0}^{1}\sin{3*x}*\sin{x}dx,6
\int_{0}^{1}\cos{4*x}*\cos{x}dx,6
\int_{0}^{1}{x+4}^{2}dx,6
\int_{0}^{1}{x-4}^{2}dx,6
\int_{0}^{1}{x+5}^{2}dx,6
\int_{0}^{1}{x-5}^{2}dx,6
\int_{0}^{1}{x+3}^{3}dx,6
\int_{0}^{1}{x-3}^{3}dx,6
\int_{0}^{1}{x+4}^{3}dx,6
\int_{0}^{1}{x-4}^{3}dx,6
\int_{0}^{1}{x+2}^{4}dx,6
\int_{0}^{1}{x-2}^{4}dx,6
\int_{0}^{1}{6*x}^{2}dx,6
\int_{0}^{1}{7*x}^{2}dx,6
\int_{0}^{1}{5*x}^{3}dx,6
\int_{0}^{1}{3*x}^{4}dx,6
\int_{0}^{1}{4*x}^{4}dx,6
\int_{0}^{1}e^{5*x}*e^{2*x}dx,6
\int_{0}^{1}e^{2*x}*e^{5*x}dx,6
\int_{0}^{1}e^{x}*e^{6*x}dx,6
\int_{0}^{1}e^{4*x}*e^{3*x}dx,6
\int_{0}^{1}e^{3*x}*e^{5*x}dx,6
\int_{0}^{1}{\sin{7*x}}^{2}dx,6
\int_{0}^{1}{\cos{7*x}}^{2}dx,6
\int_{0}^{1}\sin{5*x}*\sin{2*x}dx,6
\int_{0}^{1}\cos{6*x}*\sin{x}dx,6
\int_{0}^{1}\sin{4*x}*\sin{3*x}dx,6
\int_{0}^{1}{x+6}^{2}dx,6
\int_{0}^{1}{x-6}^{2}dx,6
\int_{0}^{1}{x+5}^{3}dx,6
\int_{0}^{1}{x-5}^{3}dx,6
\int_{0}^{1}{x+3}^{4}dx,6
\int_{0}^{1}{x-3}^{4}dx,6
\int_{0}^{1}{8*x}^{2}dx,6
\int_{0}^{1}{9*x}^{2}dx,6
\int_{0}^{1}{6*x}^{3}dx,6
\int_{0}^{1}{5*x}^{4}dx,6
\int_{0}^{1}e^{6*x}*e^{x}dx,6
\int_{0}^{1}e^{x}*e^{7*x}dx,6
\int_{0}^{1}e^{2*x}*e^{6*x}dx,6
\int_{0}^{1}e^{4*x}*e^{4*x}dx,6
\int_{0}^{1}e^{7*x}*e^{2*x}dx,6
\int_{0}^{1}{\sin{8*x}}^{2}dx,6
\int_{0}^{1}{\cos{8*x}}^{2}dx,6
\int_{0}^{1}\sin{x}*\sin{2*x}dx,6
\int_{0}^{1}\cos{x}*\cos{2*x}dx,6
\int_{0}^{1}{x+7}^{2}dx,6
\int_{0}^{1}\sin{3*x}dx,7
\int_{0}^{1}\sin{2*x+1}dx,7
\int_{0}^{1}\cos{3*x}dx,7
\int_{0}^{1}\cos{2*x+1}dx,7
\int_{0}^{1}\tan{3*x}dx,7
\int_{0}^{1}\tan{2*x+1}dx,7
\int_{0}^{1}\sqrt[2]{2*x+1}dx,7
\int_{0}^{1}{2*x+1}^{3}dx,7
